[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [exec-1]: process started with pid [3307]
[exec-1] [INFO] [1700515613.884542767] [laserdrive]: Range at 0: 0.0
[exec-1] [INFO] [1700515613.885000912] [laserdrive]: Range at 90: 16.0
[exec-1] [INFO] [1700515613.885302779] [laserdrive]: Range at -90: 0.0
[exec-1] [INFO] [1700515613.885600037] [laserdrive]: Range at 3.1415927410125732: 16.0
[exec-1] [INFO] [1700515613.948441163] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515613.948895009] [laserdrive]: Range at 90: 16.0
[exec-1] [INFO] [1700515613.949256331] [laserdrive]: Range at -90: 0.0
[exec-1] [INFO] [1700515613.949587954] [laserdrive]: Range at 3.1415927410125732: 0.0
[exec-1] [INFO] [1700515614.087318366] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515614.087911870] [laserdrive]: Range at 90: 16.0
[exec-1] [INFO] [1700515614.088227212] [laserdrive]: Range at -90: 0.0
[exec-1] [INFO] [1700515614.088542796] [laserdrive]: Range at 3.1415927410125732: 16.0
[exec-1] [INFO] [1700515614.155595759] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515614.155955836] [laserdrive]: Range at 90: 16.0
[exec-1] [INFO] [1700515614.156300264] [laserdrive]: Range at -90: 16.0
[exec-1] [INFO] [1700515614.156614575] [laserdrive]: Range at 3.1415927410125732: 0.0
[exec-1] [INFO] [1700515614.212532564] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515614.212918911] [laserdrive]: Range at 90: 0.0
[exec-1] [INFO] [1700515614.213256787] [laserdrive]: Range at -90: 16.0
[exec-1] [INFO] [1700515614.213551120] [laserdrive]: Range at 3.1415927410125732: 0.0
[exec-1] [INFO] [1700515614.278058449] [laserdrive]: Range at 0: 0.0
[exec-1] [INFO] [1700515614.278520331] [laserdrive]: Range at 90: 16.0
[exec-1] [INFO] [1700515614.278834451] [laserdrive]: Range at -90: 0.0
[exec-1] [INFO] [1700515614.279140336] [laserdrive]: Range at 3.1415927410125732: 16.0
[exec-1] [INFO] [1700515614.406680728] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515614.409202662] [laserdrive]: Range at 90: 16.0
[exec-1] [INFO] [1700515614.409548863] [laserdrive]: Range at -90: 16.0
[exec-1] [INFO] [1700515614.409909472] [laserdrive]: Range at 3.1415927410125732: 16.0
[exec-1] [INFO] [1700515614.472009973] [laserdrive]: Range at 0: 0.0
[exec-1] [INFO] [1700515614.472747873] [laserdrive]: Range at 90: 3.725749969482422
